day,Twitter Liberal vs. Parler Conservative,Twitter Conservative vs. Parler Conservative,Twitter Liberal vs.  Twitter Conservatives
10/9/2020,,,0.50568627
10/10/2020,,,0.503374965
10/11/2020,0.629531146,0.643944865,0.503314071
10/12/2020,0.52746863,0.548902645,0.515438538
10/14/2020,0.534816402,0.591408994,0.512796398
10/15/2020,0.531400523,0.553770297,0.527001206
10/16/2020,0.638691138,0.651890028,0.507933675
10/25/2020,0.521008704,0.508684221,0.503235228
10/26/2020,0.534607968,0.588585915,0.507993966
10/27/2020,0.581108693,0.599986876,0.524457584
10/29/2020,0.545258202,0.556605422,0.501240108
10/30/2020,0.565376304,0.547026623,0.530498314
10/31/2020,0.509739165,0.482676339,0.517593644
11/1/2020,0.612818284,0.602141971,0.50615752
11/2/2020,0.604974051,0.638862044,0.510955652
11/3/2020,0.528707186,0.584813341,0.515025588
11/4/2020,0.54551665,0.574135406,0.505360395
11/5/2020,0.568882614,0.552251569,0.505856896
11/6/2020,0.634243464,0.610387666,0.503354216
11/7/2020,0.5944671,0.613816861,0.501001112
11/8/2020,0.611593911,0.601728203,0.500911356
11/9/2020,0.55977308,0.578801187,0.501471113
11/10/2020,0.600100041,0.626849666,0.541179764
11/11/2020,0.562932115,0.547161533,0.509208383
11/12/2020,0.644674102,0.703196318,0.525735148
11/13/2020,0.55368399,0.603150427,0.509764853
11/14/2020,0.597049507,0.598957631,0.513277142
11/15/2020,0.600456735,0.586489099,0.516023102
11/16/2020,0.567831754,0.60238732,0.502186434
11/17/2020,0.617568517,0.654080213,0.506767228
11/18/2020,0.583492936,0.609751984,0.520516256
11/19/2020,0.586469234,0.554185575,0.518509716
11/20/2020,0.608166721,0.614420793,0.519098875
11/21/2020,0.601775203,0.626948638,0.500540286
11/22/2020,0.583364584,0.601891081,0.505767831
11/23/2020,0.586461242,0.593428428,0.50381618
11/25/2020,0.58360574,0.583300016,0.512362024
11/26/2020,0.544139562,0.581610713,0.509759388
11/27/2020,0.56091649,0.59222162,0.502083062
11/28/2020,0.645898002,0.702297748,0.562890897
11/29/2020,0.56672701,0.532413887,0.493229958
11/30/2020,0.540531253,0.550660862,0.520269117
12/2/2020,0.572676592,0.554321916,0.508478538
12/3/2020,0.592848346,0.64318622,0.530435937
12/4/2020,0.533768126,0.557822985,0.506479744
12/5/2020,0.526898684,0.521125419,0.54098691
12/6/2020,0.401454967,0.484442194,0.515978134
12/7/2020,0.646075597,0.710480449,0.514992833
12/8/2020,0.498503101,0.429270333,0.50518272
12/9/2020,0.891560742,0.897427898,0.51662734
12/10/2020,,,0.506205474
12/11/2020,0.58177407,0.584834384,0.53524361
12/12/2020,,,0.55009687
12/13/2020,,,0.493369672
12/14/2020,0.696728912,0.700826625,0.50414022
12/15/2020,,,0.50262967
12/16/2020,,,0.537910208
12/17/2020,,,0.5716702
12/18/2020,,,0.50495679
12/19/2020,,,0.50257661
12/20/2020,,,0.505399742
12/21/2020,0.423071612,0.424956011,0.506997705
12/22/2020,,,0.602048812
12/23/2020,,,0.546666172
12/24/2020,,,0.503751569
12/25/2020,,,0.502750946
12/26/2020,,,0.542832508
12/27/2020,,,0.509844689
12/28/2020,0.530167822,0.51920368,0.508490236
12/29/2020,,,0.502388796
12/30/2020,,,0.502409919
12/31/2020,,,0.501397968
1/3/2021,,,0.499457976
1/4/2021,0.602194298,0.618976334,0.494758808
