day,Parler Conservative,Twitter Liberal,Twitter Conservative
2020-10-01,2.0,,
2020-10-02,16.0,,
2020-10-03,7.0,,
2020-10-04,3.0,,
2020-10-09,,49323.0,31924.0
2020-10-10,,45458.0,30635.0
2020-10-11,28.0,38210.0,32050.0
2020-10-12,32.0,34355.0,33756.0
2020-10-13,50.0,,
2020-10-14,37.0,25465.0,29367.0
2020-10-15,35.0,20600.0,23901.0
2020-10-16,25.0,287.0,310.0
2020-10-17,45.0,,
2020-10-18,11.0,,
2020-10-19,62.0,,
2020-10-20,21.0,,
2020-10-21,6.0,,
2020-10-22,15.0,,
2020-10-23,33.0,,
2020-10-24,78.0,,
2020-10-25,18.0,2647.0,1781.0
2020-10-26,275.0,38245.0,39789.0
2020-10-27,41.0,18096.0,17458.0
2020-10-28,11.0,,
2020-10-29,56.0,12216.0,12566.0
2020-10-30,31.0,14261.0,13524.0
2020-10-31,14.0,12568.0,13861.0
2020-11-01,17.0,9683.0,14014.0
2020-11-02,128.0,14487.0,21895.0
2020-11-03,65.0,24436.0,25521.0
2020-11-04,40.0,10441.0,18819.0
2020-11-05,190.0,13556.0,20291.0
2020-11-06,77.0,15579.0,18596.0
2020-11-07,31.0,25845.0,18642.0
2020-11-08,60.0,15949.0,19052.0
2020-11-09,137.0,47057.0,60211.0
2020-11-10,362.0,11988.0,20783.0
2020-11-11,344.0,8148.0,9509.0
2020-11-12,872.0,4421.0,10144.0
2020-11-13,520.0,35530.0,46883.0
2020-11-14,408.0,21795.0,41484.0
2020-11-15,177.0,30769.0,31087.0
2020-11-16,272.0,27657.0,30053.0
2020-11-17,726.0,5633.0,9070.0
2020-11-18,629.0,31094.0,32577.0
2020-11-19,2139.0,26482.0,22430.0
2020-11-20,1163.0,26425.0,22265.0
2020-11-21,727.0,18993.0,26737.0
2020-11-22,1057.0,28832.0,40913.0
2020-11-23,2112.0,17400.0,22742.0
2020-11-24,1170.0,,
2020-11-25,1083.0,9231.0,13551.0
2020-11-26,682.0,15382.0,27667.0
2020-11-27,148.0,13074.0,24789.0
2020-11-28,67.0,1027.0,1755.0
2020-11-29,62.0,12130.0,24832.0
2020-11-30,64.0,8182.0,23469.0
2020-12-01,85.0,,
2020-12-02,85.0,10770.0,7588.0
2020-12-03,47.0,20545.0,23821.0
2020-12-04,56.0,22335.0,25367.0
2020-12-05,26.0,11938.0,9682.0
2020-12-06,18.0,25698.0,13163.0
2020-12-07,9.0,25852.0,17755.0
2020-12-08,5.0,33690.0,20367.0
2020-12-09,2.0,6946.0,8887.0
2020-12-10,,26025.0,23598.0
2020-12-11,104.0,20848.0,15854.0
2020-12-12,,41.0,15.0
2020-12-13,,24.0,8.0
2020-12-14,6.0,12720.0,13802.0
2020-12-15,,10187.0,11232.0
2020-12-16,,16849.0,11221.0
2020-12-17,,19270.0,21843.0
2020-12-18,,48228.0,27018.0
2020-12-19,,31482.0,22722.0
2020-12-20,,29432.0,25987.0
2020-12-21,24.0,29567.0,32433.0
2020-12-22,,3851.0,2255.0
2020-12-23,,1030.0,1782.0
2020-12-24,,17020.0,12278.0
2020-12-25,,14413.0,13645.0
2020-12-26,,16966.0,20118.0
2020-12-27,,28483.0,33336.0
2020-12-28,89.0,37001.0,48715.0
2020-12-29,,44916.0,43038.0
2020-12-30,,45831.0,42476.0
2020-12-31,,14723.0,14064.0
2021-01-03,,381.0,658.0
2021-01-04,159.0,3604.0,6706.0
2021-01-05,97.0,,
2021-01-06,697.0,,
2021-01-07,1588.0,,
2021-01-08,140.0,,
