day,Parler Conservative,Twitter Liberal,Twitter Conservative
2020-10-01,1.0,,
2020-10-09,,572.0,2425.0
2020-10-10,,473.0,1000.0
2020-10-11,3.0,249.0,2372.0
2020-10-12,1.0,337.0,4522.0
2020-10-13,3.0,,
2020-10-14,4.0,167.0,1338.0
2020-10-15,1.0,367.0,7695.0
2020-10-16,,2.0,21.0
2020-10-17,6.0,,
2020-10-19,5.0,,
2020-10-20,1.0,,
2020-10-22,1.0,,
2020-10-23,2.0,,
2020-10-24,7.0,,
2020-10-25,,15.0,47.0
2020-10-26,25.0,1309.0,2126.0
2020-10-27,4.0,116.0,1063.0
2020-10-29,3.0,145.0,1851.0
2020-10-30,1.0,241.0,2766.0
2020-10-31,1.0,152.0,1484.0
2020-11-01,1.0,162.0,2357.0
2020-11-02,23.0,318.0,2847.0
2020-11-03,10.0,281.0,3647.0
2020-11-04,4.0,169.0,1294.0
2020-11-05,22.0,157.0,1845.0
2020-11-06,7.0,184.0,682.0
2020-11-07,3.0,395.0,501.0
2020-11-08,4.0,199.0,623.0
2020-11-09,4.0,308.0,3057.0
2020-11-10,19.0,74.0,1119.0
2020-11-11,20.0,157.0,1420.0
2020-11-12,77.0,138.0,1295.0
2020-11-13,96.0,2680.0,6903.0
2020-11-14,136.0,752.0,3794.0
2020-11-15,28.0,609.0,1550.0
2020-11-16,66.0,372.0,2628.0
2020-11-17,208.0,91.0,466.0
2020-11-18,126.0,259.0,1878.0
2020-11-19,455.0,347.0,1580.0
2020-11-20,224.0,480.0,1071.0
2020-11-21,73.0,1119.0,542.0
2020-11-22,268.0,457.0,1043.0
2020-11-23,270.0,329.0,1091.0
2020-11-24,133.0,,
2020-11-25,150.0,75.0,629.0
2020-11-26,81.0,151.0,621.0
2020-11-27,18.0,132.0,547.0
2020-11-28,11.0,22.0,41.0
2020-11-29,8.0,126.0,1092.0
2020-11-30,15.0,97.0,658.0
2020-12-01,19.0,,
2020-12-02,6.0,60.0,236.0
2020-12-03,6.0,139.0,2328.0
2020-12-04,2.0,105.0,587.0
2020-12-05,3.0,129.0,275.0
2020-12-06,2.0,189.0,202.0
2020-12-07,,412.0,488.0
2020-12-08,1.0,97.0,841.0
2020-12-09,1.0,97.0,451.0
2020-12-10,,199.0,565.0
2020-12-11,13.0,179.0,254.0
2020-12-12,,1.0,0.0
2020-12-13,,2.0,0.0
2020-12-14,2.0,62.0,296.0
2020-12-15,,176.0,229.0
2020-12-16,,328.0,918.0
2020-12-17,,80.0,544.0
2020-12-18,,189.0,1436.0
2020-12-19,,327.0,788.0
2020-12-20,,283.0,833.0
2020-12-21,3.0,186.0,1108.0
2020-12-22,,19.0,26.0
2020-12-23,,6.0,32.0
2020-12-24,,240.0,488.0
2020-12-25,,483.0,732.0
2020-12-26,,826.0,777.0
2020-12-27,,1333.0,742.0
2020-12-28,23.0,1063.0,1361.0
2020-12-29,,200.0,959.0
2020-12-30,,180.0,542.0
2020-12-31,,44.0,216.0
2021-01-03,,2.0,13.0
2021-01-04,28.0,78.0,277.0
2021-01-05,9.0,,
2021-01-06,147.0,,
2021-01-07,501.0,,
2021-01-08,35.0,,
