day,Parler Conservative,Twitter Liberal,Twitter Conservative
2019-11-13,2.0,,
2019-11-14,3.0,,
2019-11-15,1.0,,
2019-11-19,4.0,,
2019-11-24,3.0,,
2019-11-26,9.0,,
2019-11-27,1.0,,
2019-12-26,1.0,,
2020-02-24,1.0,,
2020-03-24,0.0,,
2020-04-26,1.0,,
2020-05-17,1.0,,
2020-05-19,2.0,,
2020-05-20,1.0,,
2020-05-24,3.0,,
2020-05-26,6.0,,
2020-05-27,2.0,,
2020-06-11,1.0,,
2020-06-13,4.0,,
2020-06-15,2.0,,
2020-06-16,1.0,,
2020-06-17,4.0,,
2020-06-19,14.0,,
2020-06-20,1.0,,
2020-06-22,1.0,,
2020-06-23,7.0,,
2020-06-24,10.0,,
2020-06-25,1.0,,
2020-06-26,75.0,,
2020-06-27,15.0,,
2020-07-01,2.0,,
2020-07-02,2.0,,
2020-07-03,1.0,,
2020-07-09,1.0,,
2020-07-11,8.0,,
2020-07-12,26.0,,
2020-07-13,33.0,,
2020-07-14,18.0,,
2020-07-15,17.0,,
2020-07-16,14.0,,
2020-07-17,7.0,,
2020-07-18,12.0,,
2020-07-19,70.0,,
2020-07-20,22.0,,
2020-07-22,1.0,,
2020-07-23,12.0,,
2020-07-24,30.0,,
2020-07-25,11.0,,
2020-07-26,176.0,,
2020-07-27,44.0,,
2020-08-01,4.0,,
2020-08-02,3.0,,
2020-08-03,4.0,,
2020-08-04,1.0,,
2020-08-11,8.0,,
2020-08-12,10.0,,
2020-08-13,24.0,,
2020-08-14,10.0,,
2020-08-15,10.0,,
2020-08-16,6.0,,
2020-08-17,7.0,,
2020-08-18,9.0,,
2020-08-19,25.0,,
2020-08-20,7.0,,
2020-08-23,4.0,,
2020-08-24,15.0,,
2020-08-25,3.0,,
2020-08-26,101.0,,
2020-08-27,17.0,,
2020-09-01,1.0,,
2020-09-02,1.0,,
2020-09-03,1.0,,
2020-09-11,6.0,,
2020-09-12,4.0,,
2020-09-13,14.0,,
2020-09-14,4.0,,
2020-09-15,5.0,,
2020-09-16,6.0,,
2020-09-17,7.0,,
2020-09-18,3.0,,
