day,Miscellaneous (Neutral),Miscellaneous (Positive),Miscellaneous (Negative),Mask (Neutral),Mask (Positive),Mask (Negative),Lockdown (Neutral),Lockdown (Positive),Lockdown (Negative),Vaccine (Neutral),Vaccine (Positive),Vaccine (Negative),COVID-19 (Neutral),COVID-19 (Positive),COVID-19 (Negative)
10/1/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/2020 0:00,8,0,0,1,0,0,0,0,0,0,0,0,9,0,0
10/3/2020 0:00,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
10/4/2020 0:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10/5/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/6/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/7/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2020 0:00,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
10/12/2020 0:00,4,0,1,0,0,2,0,0,0,0,0,0,4,0,3
10/13/2020 0:00,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
10/14/2020 0:00,9,0,0,1,0,2,0,0,2,0,0,0,10,0,4
10/15/2020 0:00,3,0,0,0,0,1,0,0,0,0,0,0,3,0,1
10/16/2020 0:00,6,0,2,0,0,0,0,0,1,0,0,0,6,0,3
10/17/2020 0:00,4,0,0,1,0,1,1,0,0,2,0,0,8,0,1
10/18/2020 0:00,3,0,1,0,0,0,0,0,0,0,0,0,3,0,1
10/19/2020 0:00,7,0,1,0,0,3,0,0,0,0,0,0,7,0,4
10/20/2020 0:00,3,0,0,0,0,1,0,0,0,0,0,0,3,0,1
10/21/2020 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
