Negative,conservative,@claudiaRtist,#thanksgiving #covid19fear #endthelockdown #democratsaredestroyingamerica
Negative,conservative,@Americas1776,The Hypocrisy! California Governor Gavin Newsom has been demanding people stay indoors and cancel holidays but meanwhile he was recently seen celebrating a birthday over dinner at a restaurant.  Truly disturbing to see these governors going against restrictions they put into place. This is all about control over the public.  #covid19hoax #liberalhypocrisy #covid #governor #liberalsmustgo #lockdown #maga #california #trump2020 #endthelockdown #covidrestrictions
Negative,conservative,@Chiaramonte,Who can explain this one?  With the second wave of lockdowns starting to roll in. I know for my state Big Gretch is trying to push us around again. Many people I know are not going to stand for it.  We know the virus is real.  We know we all have a risk.  But don’t tell us we can’t see our family for the holidays. That’s our call as a family to decide if the risk of being sick is worth it or not.  Not the Governments job. It’s ours.  #michiganlockdown  #covid19  #endthelockdown  ECHO IF YOU AGREE!
Negative,conservative,@JimJordan,Democrats: “No Thanksgiving this year.” President Trump: “No more lockdowns.”
Negative,conservative,@Drlnunno,#stopthelockdowns
Negative,conservative,@bestsparklegirl,Gov. Ron DeSantis’ Office Vows No Lockdown in Florida
Negative,conservative,@bestsparklegirl,Gov. Ron DeSantis’ Office Vows No Lockdown in Florida
Positive,conservative,@JoanieTXPatriot,So Governor Newsom isn't afraid to go out but telling everyone else to stay home??
Positive,conservative,@buskirk,"The Biden-Harris Team is already talking about 4-6 weeks of new national lockdowns if they take office.  Remember when it was 2 weeks to slow the spread?  Remember when if you just wore a mask, we wouldn't have to lockdown? (We've had mask mandates for months) Remember when we just needed better treatments and a vaccine? (Regeneron is widely available & multiples vaccines will be available before inauguration day. China has a widely distributed vaccine already) But still...they want to lock you in your house, stop your life, keep you away from church and your loved ones.  No."
Positive,conservative,@buskirk,"The Biden-Harris Team is already talking about 4-6 weeks of new national lockdowns if they take office.  Remember when it was 2 weeks to slow the spread?  Remember when if you just wore a mask, we wouldn't have to lockdown? (We've had mask mandates for months) Remember when we just needed better treatments and a vaccine? (Regeneron is widely available & multiples vaccines will be available before inauguration day. China has a widely distributed vaccine already) But still...they want to lock you in your house, stop your life, keep you away from church and your loved ones.  No."
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@DiamondAndSilk,California Law-Makers Busted For Jetting Off To Lavish Hawaii Getaway — Despite Insisting People Stay At Home........
Positive,conservative,@Im4him4ever,"I’m having Thanksgiving for as many as want to come, held indoors and they can come lock me up. Enough is enough! If you’re concerned about getting the virus then stay at home."
Positive,conservative,@EglKpr2,"There are many ingrates among the vocal anti-police minority. Remember that: MINORITY.. Defy ""Stay at Home"" orders to protest ingrates actions, since other protest gatherings are ignored relative to.  Use word of mouth and text messages among people you trust. STAY OFF ALL SOCIAL MEDIA.. NTolerantHetero"
Positive,conservative,@JHrusky,"Are any of you that support the masking, the lockdowns, the stay at home orders OK with these oligarchs who are commanding you and your family what to do but enjoying life for themselves? Is that a country you want to live in? Do you consider yourself 2nd class citizens who must follow a different and more draconian set of rules than these power-hungry mongrels do? Newsome in California. Pelosi in California. Pritzker in Illinois. Lightfoot in Illinois. and countless others."
Neutral,conservative,@GridlockQ721,Senator Grassley is in quarantine.
Neutral,conservative,@davecoolworld,This is the 1st time in history that healthy people have been quarantined.  This is a about control...nothing less.
Neutral,conservative,@AJCats,"Governor Newsom is allowed to have large, mask-less dinner parties but not everyone else in California?! He needs to quarantine himself from government office!"
