Negative,conservative,45sTinyDancer,"RT @MAGAgirl_2020: #SaveTheChildren #AllLivesMatter #WWG1WGA 
 #ObamaGate #EndLockDown #God #Trump2020Landslide #BuildTheWall #MAGA #KAG  #…"
Negative,conservative,StephenKessen,@JoeBiden Fuk you China @JoeBiden! #NoShutDown #DementiaJoe #BidenCorruption
Negative,conservative,joshuapchase,Seems legit... #NoMasks #openamericanow
Negative,conservative,RobertGooch7,"RT @CariocaCoug: @Laurie_Garrett @JoeBiden I will not comply.
#ConstitutionOverCoronavirus #OpenAmericaNow"
Negative,conservative,adyt1234,"@JoeBiden This virus is NO WORSE THAN THE FLU!!!  Cut out the fear mongering!!!!

#OPENAMERICANOW"
Negative,conservative,Joeshmo60915109,RT @tmadd59: #LockdownsAreNotACure
Negative,conservative,FritzieWatched,"#StillMyPresident

#HCQIsSafeEffective #COVID19 #ChiComFlu #WeComplyThousandsDie #MasksDontWork #LockdownsDontWork… https://t.co/1Tx4MYTlSA"
Negative,conservative,jaychocnh,"#BidenLockDown
Biden LockDown 2021 is coming
Get your supplies and stock up"
Positive,liberal,TonyAaronII,#StayHome #WearAMask
Positive,conservative,Bonnie1224,"RT @mrddmia: Another example of how D politicians politicized &amp; weaponized COVID, with their arbitrary &amp; selectively enforced #StayHome ord…"
Positive,conservative,Paxton_Wagner,"RT @mrddmia: Another example of how D politicians politicized &amp; weaponized COVID, with their arbitrary &amp; selectively enforced #StayHome ord…"
Positive,liberal,HopeP44,"RT @mrddmia: Another example of how D politicians politicized &amp; weaponized COVID, with their arbitrary &amp; selectively enforced #StayHome ord…"
Neutral,conservative,jendefends13,"RT @egmac15: ayo biden im not wearing a mask the minute i step out my front door. try again you communist @JoeBiden 
#2ndLockdown #COVIDIOT…"
Neutral,liberal,beth_wellington,"“ quarantine for thee, but not for me”"
Neutral,conservative,kris_kinder,RT @seanagnew: Quarantine for thee but not for me
Neutral,conservative,KamaainaInOC,"RT @SamValley: Quarantine rules for thee, and not for me."
Neutral,conservative,ACSpollen,RT @thefactualprep: Time to quarantine and maybe resign.
Neutral,liberal,MarniTanya,I was promised @BetoORourke or @CoryBooker   I’ve quarantined for their safety. When will they be arriving??
Neutral,liberal,Rachels_Ratchet,RT @ConanOBrien: So NOW Trump wants to quarantine in the White House.
Neutral,liberal,pat1944,@HowardA_Esq He I am sure is suffering with Covid! Quarantined from rest of Trump flunkies !
Neutral,liberal,KerryVaughn,"@Sturdy32 @JBPritzker If he was exposed I would think he should be quarantined, I mean, don't be like trump right?"
Neutral,liberal,xtina1229,The good news is maybe we can keep the entire Trump administration in quarantine until January 20th.
Neutral,conservative,ConservaPeach,"RT @rufusdrl: @SegravesNBC4 @MayorBowser @JoeBiden @nbcwashington Not a good look, Mayor Bowser. Quarantine for thee but not for me."
Neutral,liberal,Cheryl7298752,"@JenniferJJacobs They need to quarantine Trump and his whole White House staff, aids... everybody for TWO months."
Neutral,liberal,margaritateresa,"RT @kwanzaaproject: @admiralmpj @JoeBiden @KamalaHarris No. Once the trump team leaves, the remaining staff should be quarantined and the E…"
Neutral,conservative,peterjen99,RT @drea_ams: @SaraCarterDC @dad_liams @JoeBiden Have you seen what New York is doing? Legislation for involuntary quarantine of citizens!…
Neutral,liberal,expedience2,"RT @kwanzaaproject: @admiralmpj @JoeBiden @KamalaHarris No. Once the trump team leaves, the remaining staff should be quarantined and the E…"
Neutral,conservative,Melly_sheknows,"@RealBrysonGray I'm in quarantine, my husband got covid. I swear I would be there if I could! I will be there in sp… https://t.co/zLt8Hv61ky"
Neutral,liberal,mallyskok,RT @digby56: So their James Baker has to quarantine for 14 days now. Will he? https://t.co/UjpGgFOT2D
Neutral,liberal,LBI_peggy,"Who wants to switch their doctor for Ben Carson, but you'll have to wait until he's out of quarantine. 

Ben Carson… https://t.co/yhDCVhsmtC"
Neutral,conservative,SamJone57835961,@dagenmcdowell And Biden says masks work. That is why I am in quarantine because I wore my mask and was in contact… https://t.co/NUKamCmEb1
Neutral,conservative,Chrisdancingfox,@Dave_DarkFyre @griffitzart @pablo_honey1 @kayleighmcenany @JoeBiden I'm a Trump supporter. I quarantined for weeks… https://t.co/qCeglfFh3H
Neutral,conservative,deplorablejjb,RT @KirkMasseyTCU: @JoeBiden Joe’s committee of political activists on covid would vote for a mandatory quarantine/lockdown of all American…
Neutral,conservative,WGlassberg,@ShellsBells1861 @BrandonStraka If Biden steals it u can expect Quarantine Facilities within two yrs latest be my guess.
Neutral,liberal,donaldjr,No one is quarantining anymore everything is pretty much back up and running again my question is what exactly does… https://t.co/8t1c38f0Xl
Neutral,conservative,nonbeltway1,RT @JaniceDean: @beyondreasdoubt @megynkelly @georgehahn @ChrisCuomo Chris Cuomo never wears masks and faked his own quarantine. https://t.…
Neutral,conservative,jsquaredftl,“Essential”....but your kids can’t go back to school and she doesn’t have to quarantine.  She is in the running for… https://t.co/vA5os2nAm2
Neutral,conservative,lloydtwin,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,CounselorK,"@HillaryClinton I know some of you like to reject SCIENCE but if ""JACK"" quarantines safely for 14 days with no sign… https://t.co/VOmzNPjSQ1"
Neutral,conservative,lawrence_jay1,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,IAAFHSP,RT @JaniceDean: @beyondreasdoubt @megynkelly @georgehahn @ChrisCuomo Chris Cuomo never wears masks and faked his own quarantine. https://t.…
Neutral,conservative,Barbara77250226,RT @JaniceDean: @beyondreasdoubt @megynkelly @georgehahn @ChrisCuomo Chris Cuomo never wears masks and faked his own quarantine. https://t.…
Neutral,conservative,martyschaftborn,RT @JaniceDean: @beyondreasdoubt @megynkelly @georgehahn @ChrisCuomo Chris Cuomo never wears masks and faked his own quarantine. https://t.…
Neutral,conservative,SW1774,RT @JaniceDean: @beyondreasdoubt @megynkelly @georgehahn @ChrisCuomo Chris Cuomo never wears masks and faked his own quarantine. https://t.…
Neutral,conservative,Katcheck96,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,wa_sunflower,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,jzfloridagirl,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,ndirishlee,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,adonia_martinez,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,JENin140,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,mbradt27,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,ajenable,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,marklangford,RT @JaniceDean: @beyondreasdoubt @megynkelly @georgehahn @ChrisCuomo Chris Cuomo never wears masks and faked his own quarantine. https://t.…
Neutral,conservative,texan_angry,@GiannoCaldwell Have we? I have 2 students and 5 teachers in quarantine right now. Just because Trump takes up all… https://t.co/p5ohe08OoE
Neutral,conservative,JerseyDan67,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,RexMonaco,RT @JaniceDean: @beyondreasdoubt @megynkelly @georgehahn @ChrisCuomo Chris Cuomo never wears masks and faked his own quarantine. https://t.…
Neutral,conservative,cindykirk947,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,RingDebbie,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,LoriBlaney,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,wethepe04706304,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,JessMobley6,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,CTR_Mining,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,NativesForTrump,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,liberal,battlecat847,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,nojoe21,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,GaryFeddersen,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,DianeBilbrey1,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,liberal,bandyt88,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,lldnt,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,liberal,PubOperator,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,Hector72380636,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,klj998866,RT @JaniceDean: @megynkelly Chris Cuomo never wears masks and lied about being quarantined. Also joked about coronavirus with his brother w…
Neutral,conservative,AmandaGLA16,@JDMarvin @TheUnsilentMaj3 A decrepit person like @JoeBiden should wear a mask and stay quarantined in his basement… https://t.co/zfiPzUjBdD
Neutral,liberal,Gaisan87,RT @MeidasTouch: We began as three brothers in quarantine who knew we needed to remove Trump to save democracy. Thanks to you we became mov…
Neutral,liberal,NickAllevato,RT @rockraider3: @GregForMontana @MTGOP reject this. We are free citizens in Montana. People at high risk can self quarantine and mask up.…
Neutral,liberal,writewhale,RT @MeidasTouch: We began as three brothers in quarantine who knew we needed to remove Trump to save democracy. Thanks to you we became mov…
Neutral,liberal,BanjoHfuhruhur,RT @MeidasTouch: We began as three brothers in quarantine who knew we needed to remove Trump to save democracy. Thanks to you we became mov…
Neutral,liberal,BBbmarsh,RT @MeidasTouch: We began as three brothers in quarantine who knew we needed to remove Trump to save democracy. Thanks to you we became mov…
Neutral,liberal,roberth11357298,RT @MeidasTouch: We began as three brothers in quarantine who knew we needed to remove Trump to save democracy. Thanks to you we became mov…
Neutral,liberal,LoriDTindall,@KC_in_Boise I hope you all are OK through this! I’m on ongoing strict quarantine b/c I have congenital immune defi… https://t.co/p4StKVjjYv
Neutral,conservative,CatSense27,@99freemind The Hunter-Biden/NYPost thing was a let down. The globalist kept it quarantined within a bubble. I'm su… https://t.co/mIxwuKH1xx
Neutral,liberal,CeleryCaraway,RT @StephMillerShow: The Rude Pundit joins us from his quarantine bunker after the break to celebrate kicking Donald Trump’s ass from the W…
Neutral,liberal,LovnLifeGPT,RT @StephMillerShow: The Rude Pundit joins us from his quarantine bunker after the break to celebrate kicking Donald Trump’s ass from the W…
Neutral,liberal,ssbn608,RT @StephMillerShow: The Rude Pundit joins us from his quarantine bunker after the break to celebrate kicking Donald Trump’s ass from the W…
Neutral,conservative,Robertl01464344,RT @BPVT2014: VP Pence recently exposed to covid but continued to campaign refused quarantine will resurface Monday afternoon and chair the…
Neutral,liberal,pinevalleyAR,"Between this &amp; police chiefs in rural Marshall &amp; Stuttgart, I'll probably self-quarantine a while longer. My Biden/… https://t.co/ROtpITSvnq"
Neutral,conservative,rickyraper2014,RT @rickyraper2014: If Biden wins America will become like the Socialist State of California. Watch 4 forced inoculations. Forced quarantin…
Neutral,liberal,myperfectright,Ya’ll who went out and had fun this weekend. Please quarantine yourself for 2 weeks. We need y'all alive for the ne… https://t.co/ilKpFMnIeq
Neutral,liberal,StephMillerShow,The Rude Pundit joins us from his quarantine bunker after the break to celebrate kicking Donald Trump’s ass from th… https://t.co/JZAye3CZnM
Neutral,conservative,WJC19690807,Even though COVID hasn’t been talked about in almost a week - and the CDC said it was ok to break quarantine and go… https://t.co/sOCgbsiofL
