Sentiment,User,Post Content
Neutral,@Josephcaskey4,"Is there interest for a website that aggregates instances of certainevents nationwide? Riots, statue vandalism, covid lockdown double standards, ect?"
Positive,@bakedbeans0intheoven,I'm not sorry Karen that you don't want to wear a mask for like 20 minutes when there are hundreds of nurses wearing them all day! Just where a mask please you can'tbe that stupid to not wear one! WE DONT WANT YOUR CORONA!!!!!! #trump2020 #acab #1312 #acab1312 #blm #blacklivesmatter #bluelivesdontmatter #bluelivesmatter #mannyflag #trump #prolife #prochoice #politics #democratsaredestroyingamerica #freedom #americafirst #fucktrump #poc #ICE # manny #manny2020 #donaldtrump #cheetoman #coronavirus #buildthewall #justice #gorgefloyd #sayhisname #sayhisnamegeorgekirby #trumptrain #2020 #trumptrain2020
Positive,@gothbisexual,i simple reminder:)wear a mask
Positive,@Badbitty,I don’t think if you complain about not getting a haircut and having to wear a mask your opinion matters.
Positive,@Bakugo,If it’s a company’s right to refuse service to a gay person then it’s their right to refuse service to someone who won’t wear a mask
Positive,@GoJoeBiden,"Too many Americans have fetishized the concept of freedom. What they define as ""freedom"" is the license to behave recklessly & dangerously without any consequence.  That is not freedom - it's anarchy. And that is not America. 🇺🇲🇺🇲🇺🇲🇺🇲🇺🇲 Wear a mask."
Positive,@Josephcaskey4,Mandatory mask alert for Coloradonow. Even though deaths have been dropping.  I got the warning on my phone. Is this the dystopia?
Neutral,@Gaygoddex,I’ve only had one shift at my job so far and I already have a pet peeve for people who DONT WEAR THERE FUCKING MASK! WEAR YOUR MASK IDIOTS!!!
Neutral,@Gaygoddex,Why do people not wear masks?? I have a dinosaur mask and I feel like a goddex while wearing it. 🥰💖😱 #wearmasks #idiots #gay #trans #nonbinary #corona #covid19 #bigrona #nonbinary #dinosaurs
Neutral,@aloisia,wear your masks or perish 🤍
Neutral,@daddybernie77,"Wear your f***ing masks, you selfish morons."
Neutral,@Artybarbie,"If a mask mandate is an infringement of rights, why is controlling a uterus a function of government? Asking for a friend."
Neutral,@Artybarbie,"If a mask mandate is an infringement of rights, why is controlling a uterus a function of government? Asking for a friend."
Neutral,@GoJoeBiden,This is the best news for everyone against wearing masks. *** COVID-19 can cause male infertility *** 🍆🍆🍆🍆👎
Neutral,@euphoriagguk,karens in this app are like “I’m not wearing a mask!” well good luck on getting the coronavirus ❤️😹
Neutral,@EllieTheShroom,"OH THE HUMANITY just wear the damn mask, it's not about you it's about the greater good of your own community. #COVID #COVID19 #ConservativeCryBaby"
Neutral,@Ilovmelons,Can you all take covid seriously? Like just wear a fucking mask and social distance. It’s not that fucking hard.
Neutral,@DeepStateUnicorn,Trump said everyone should wear masks. What’s the Qanon crazy line on this? Did the “Deep State” get to him? Or is he “playing 18D chess”?
Neutral,@independent12,"How come wearing a mask restricts your rights, but the government forcing us to wear seatbelts doesn't? Or the government forcing us to listen to traffic signals or we get fined?"
Neutral,@ihateamericaandtrump,don’t forget to wash your hands every day and practice safe social distancing! 🥰✨ always wear masks :) echo this to remind people! 😌✨
Neutral,@bakedbeans0intheoven,🧚‍♀️🧞‍♀️🧚‍♀️💕Can y'all 🧚‍♀️🧚‍♀️🧚‍♀️like where a mask? 💕🧚‍♀️💕🧜‍♀️🧜‍♀️I don't want to die🧝‍♂️🧞‍♀️🧚‍♀️💗🦄
Neutral,@DragQueenBillyRayCyrus,Trump still thinking it’s a hoax and not wearing a mask  • #dumptrump #donaldtrump #maga #covid19 #corona #coronavirus #globalpandemic #racist #notahoax #lgbtq #blm #acab #1312 #blacklivesmatter #defundthepolice #democrats #republicans #fuck12
Positive,@ihateamericaandtrump,don’t forget to wash your hands every day and practice safe social distancing! 🥰✨ always wear masks :) echo this to remind people! 😌✨
Positive,@EmoActivist,We stand together ✊🏻 ✊🏼 ✊🏽 ✊🏾 ✊🏿 ❤️ 🧡 💛 💚 💙 💜
Negative,@fuckconservativez,"if you don’t believe in systemic racism and you aren’t willing to watch this to see the other side’s perspective, you are very much part of the problem 😀 #blacklivesmatter #whitelivesmatter #alllivesmatter #buildthewall #trump2020 #maga #blacksfortrump #whitesupremacy #liberalismisamentaldisorder #reverseracism #itsoktobewhite #bluelivesmatter #backtheblue #antifaterrorists #blmterrorists #systemicracismisalie #systemicracism #coronavirushoax #kungflu #chinesevirus #proudamerican #proudtobewhite #confederateflag"
Negative,@fuckconservativez,"if you don’t believe in systemic racism and you aren’t willing to watch this to see the other side’s perspective, you are very much part of the problem 😀 #blacklivesmatter #whitelivesmatter #alllivesmatter #buildthewall #trump2020 #maga #blacksfortrump #whitesupremacy #liberalismisamentaldisorder #reverseracism #itsoktobewhite #bluelivesmatter #backtheblue #antifaterrorists #blmterrorists #systemicracismisalie #systemicracism #coronavirushoax #kungflu #chinesevirus #proudamerican #proudtobewhite #confederateflag"
Negative,@fuckconservativez,"if you don’t believe in systemic racism and you aren’t willing to watch this to see the other side’s perspective, you are very much part of the problem 😀 #blacklivesmatter #whitelivesmatter #alllivesmatter #buildthewall #trump2020 #maga #blacksfortrump #whitesupremacy #liberalismisamentaldisorder #reverseracism #itsoktobewhite #bluelivesmatter #backtheblue #antifaterrorists #blmterrorists #systemicracismisalie #systemicracism #coronavirushoax #kungflu #chinesevirus #proudamerican #proudtobewhite #confederateflag"
Negative,@hotchipconnoiseur,#blacklivesmatter #nojusticenopeace #genz #donaldtrump #exposeantifa #americafirst #makeamericagreatagain #MAGA #buildthewall #madeintheusa #godblessamerica #ingodwetrust #votetrump2020 #conservative #voteredtosaveamerica #republican #chinavirus #trumparmy #copsfortrump #makindonalddance #godblessdonaldtrump #conservativestrong #thegreatawakening #klukluxklan #whitepower #whitelivesmatter #alllivesmatter #redwhiteandblue #notsorryforbeingwhite
Negative,@hotchipconnoiseur,RIP to our great president press f in the chat to pay respects 😢🏳️‍🌈🇺🇸 #blacklivesmatter #nojusticenopeace #genz #donaldtrump #exposeantifa #americafirst #makeamericagreatagain #MAGA #buildthewall #madeintheusa #godblessamerica #ingodwetrust #votetrump2020 #conservative #voteredtosaveamerica #republican #chinavirus #trumparmy #copsfortrump #makindonalddance #godblessdonaldtrump #conservativestrong #thegreatawakening #klukluxklan #whitepower #whitelivesmatter #alllivesmatter #redwhiteandblue #notsorryforbeingwhite
Neutral,@Feministlobster,"My Dad has #Covid19. So far he’s doing ok, just has a nasty cough."
Neutral,@EllieTheShroom,"OH THE HUMANITY just wear the damn mask, it's not about you it's about the greater good of your own community. #COVID #COVID19 #ConservativeCryBaby"
Neutral,@HumanityFirst,"Rest in peace. Hopefully others learn from this and choose to prioritize keeping themselves and others safe, instead of focusing on pushing an agenda. Stay safe everyone  #covid #covid19 #covid19hoax"
Neutral,@Gaygoddex,Why do people not wear masks?? I have a dinosaur mask and I feel like a goddex while wearing it. 🥰💖😱 #wearmasks #idiots #gay #trans #nonbinary #corona #covid19 #bigrona #nonbinary #dinosaurs
Neutral,@DragQueenBillyRayCyrus,Trump still thinking it’s a hoax and not wearing a mask  • #dumptrump #donaldtrump #maga #covid19 #corona #coronavirus #globalpandemic #racist #notahoax #lgbtq #blm #acab #1312 #blacklivesmatter #defundthepolice #democrats #republicans #fuck12
Neutral,@FuckFascistIdiots,F*ck gender roles #gay #gaysfortrump #gaypride #gayrights #enby #nonbinary #nonbinaryrights #iamnonbinary #blm #blmprotest #blacklivesmatter #blackcommunity #blacks #blacksfortrump #fascism #fascist #liberal #socialism #lgbt #loveislove #believeallwomen #metoo #maga #trump2020 #trump #covid19 #covid19hoax #conservative #maga2020 #presidenttrump #voteredtosaveamerica #votetrump2020 #voterfraud #trumpsupporters #liberalidiots #antifafaggots #antifa #antifaterrorist #exposeantifa
Neutral,@DeepStateUnicorn,Ron DeSantis paying nursing homes with no COVID patients to accept patients recovering from COVID.
Neutral,@FlushedTheTurd,"Donald Trump's Presidency, So Far: 11.1% unemployment rate (up 70%) $3 trillion budget deficit (up 400%) $26.5 trillion National debt (up 33%) 11.7% misery index (up 112%) 5.4 million people recently kicked off health insurance 201 radical judges installed 20,933 lies told 3.63 million infected with COVID-19 140,120 COVID-19 deaths $137 million spent on golf"
Neutral,@GoJoeBiden,This is the best news for everyone against wearing masks. *** COVID-19 can cause male infertility *** 🍆🍆🍆🍆👎
Neutral,@Josephcaskey4,"Is there interest for a website that aggregates instances of certainevents nationwide? Riots, statue vandalism, covid lockdown double standards, ect?"
Neutral,@Ilovmelons,Can you all take covid seriously? Like just wear a fucking mask and social distance. It’s not that fucking hard.
Neutral,@DanielCoelho23,"‪Os caras zombando da cara do povo, rindo, ao comprar respiradores para porcos. Polícia Federal mostra a prova, eles sabiam de tudo. Enquanto isso, o Recife tem uma das piores taxas de mortalidade com COVID no Brasil. #Recife #LibertaRecife ‬#COMPARTILHE"
Neutral,@IvanaNicacio,"Dois pontos sobre o presidente com Covid: estão fazendo piada, ok, mas já pensaram se fosse com um dos ministros do STF que escarcéu, seria? O vírus não escolhe lado, meus caros, assim como a liberdade de expressão também não deveria."
Neutral,@DanielCoelho23,"‪Muito triste, vendo minha cidade com uma das piores mortalidades de COVID no mundo. E esses alucinados vivendo em um mundo paralelo, dizendo que tá tudo bem. Enquanto isso, a PF vai mostrando, que eles preferem montar esquemas de corrupção a salvar vidas. #Recife ‬"
Neutral,@bakedbeans0intheoven,I'm not sorry Karen that you don't want to wear a mask for like 20 minutes when there are hundreds of nurses wearing them all day! Just where a mask please you can'tbe that stupid to not wear one! WE DONT WANT YOUR CORONA!!!!!! #trump2020 #acab #1312 #acab1312 #blm #blacklivesmatter #bluelivesdontmatter #bluelivesmatter #mannyflag #trump #prolife #prochoice #politics #democratsaredestroyingamerica #freedom #americafirst #fucktrump #poc #ICE # manny #manny2020 #donaldtrump #cheetoman #coronavirus #buildthewall #justice #gorgefloyd #sayhisname #sayhisnamegeorgekirby #trumptrain #2020 #trumptrain2020
Neutral,@euphoriagguk,karens in this app are like “I’m not wearing a mask!” well good luck on getting the coronavirus ❤️😹
Neutral,@EricTrumpIsDumb,Warnings of a possible cover-up as Trump orders hospitals to stop sending coronavirus data to CDC – Alternet.org
