Sentiment,User,Post Content
Positive,@BalloonGuyz,"Ok there's two slogans out there. One . Stay Loud! Stay Proud! Persist! and Resist!  The second is. Stay Home. Stay Calm . Stay Active. The first one is for B. L. M. L. G. B. T. And A.N.T.I.F.A. This means get up get out and be as loud and cause as much un-rest as we can, till we get what we demand!  The second is the Silent working majority. Stay Home , Shut Up, and DO AS WE SAY. I'm so glad I don't have children or grand children, to have to conform to the leftists point of view . Some day you will look at your children and or grand children and explain the reason they are not Free like you used to be. And your answer should be the truth. We the people let the Democratic party take over our country because we wouldn't GET UP GET OUT AND TAKE ON THIS OVER TAKE OF OUR COUNTRY! I'm so sorry you have to suffer like this 💔 because of my/ our lack of STANDING UP LIKE GODS PEOPLE ARE TOLD TO DO! now we have lost our freedom and our country. Think about that ."
Positive,@Davidcsimmons913,"Libturds destroyed the economy and the country with the Dem governor's shutting state's down and putting companies out of business and people out of work while running up the debt to pay people to stay home because of the flu, is now the president's fault bahahaha. No mail in voting, if you can't have in person voting then delay it till you can. Loser's will never win unless they cheat."
Negative,@HubLife,This man understands the mask lie at a level most can't comprehend. Echo this everywhere. #Trump2020 #NoMasks
Negative,@HubLife,This man understands the mask lie at a level most can't comprehend. Echo this everywhere. #Trump2020 #NoMasks
Neutral,@JCBueno,"To hell with masks. When they say that I need a mask to go into whatever building I’m going in, I tell em, “ It’s against my right” or “I don’t wear masks” and my polite yet firm and determined mindset energy keeps people aware that I’m not one to push a silly mandate on. This goes for my 13 year old boy, my 11 year old daughter and my RN wife. We the people will fight injustice every day, this is how we begin to take our power back and by submitting to their ill-found pseudoscience control mandates we lose our power. Amen"
Neutral,@ejrwheeler,"I am seeing this nationwide. Store clerks, previously having ZERO authority over anything within the store, being the self-appointed mask gestapo. I am medical exemption for masks, don’t, can’t and won’t wear them for anyone. ADA says I only must disclose that I am mask exempt for medical reasons. HIPPA says that “they” have no business or right to see any documentation as to why. I was at a Pilot Travel Center in Eagle Pass, TX at my company mandated fuel stop. The clerk shouted at me saying I wasn’t allowed in the store and pointing at the sign on the door... mind you, I have been at a Flying J (same company) all week with NO issues! Was forced to pay at the pump despite the inherent security issues with that, and was not allowed the restroom. First stop after that... haven’t found it yet! I drove an hour and a half and had to stop on a wide shoulder for the night. Good thing I am a guy and the world’s my toilet!"
Neutral,@flintbedrock,'Masks make us slaves': thousands march in Berlin anti-lockdown protest
Neutral,@DigitalSwolljer,🤣 yeah right! WTF is a “civil citation”? There’s not even a snowball chance in hell that I would sign for this & I would love to have idiots like this try to arrest me for not wearing a mask. Try it. #ImJustSayin
Neutral,@Cbrown290175534591,"Look, you can smoke and not be recognized, just like when you rob, rape, murder and vandalize. These ‘face coverings’ do have their advantages."
Neutral,@JCREDIBLE,"State Bar Group Calls for 'Mandatory' COVID-19 Vaccinations, Regardless of Objections | New York Law Journal It's called project warp speed! I'm sorry but you cannot force this on people. Can we hold them responsible if something goes wrong?"
Negative,@Amandastavaresb,Vamos rir um pouquinho! 😅 #chinesevirus #viruschines #boanoite #parler #parlerbrasil
Negative,@Alouise123,"Why is no one in the media or a position of power talking about the fact that this event happened in October of 2019?! Doesn’t the timing on this seem strange to anyone else? Was the China virus deliberate??? - Event 201, a pandemic exercise to illustrate preparedness efforts"
