Sentiment,User,Post Content
Negative,@Conservativelolo,The placement of this sign was just so perfect #maga #kag #trump2020 #reopenamerica #covid19 #covidisahoax
Positive,@americanconservatives,BUSTED: Rhode Island’s Dem Governor Caught Maskless at Wine Bar After Telling People to Stay Home
Positive,@iAmJo,"This is sickening! “Pay people to lose their jobs”.  Tom Elliott (@tomselliott) Tweeted: One of Biden’s Covid task force members, Dr. Michael Osterholm (@mtosterholm) pitches a national lockdown, falsely claims we’d be following Japan’s lead. “We need to lock down to drive this infection level to a place where we can actually control it.”"
Positive,@Aprilj73127,I run a work from home business promoting the keto lifestyle
Positive,@bkfootdoc,Do we actually believe the money collected from remote workers will be 100% redistributed to people who cannot work from home. I think it's a good idea but liberal cities will ”gobble up” this cash into their treasuries and redistribute it for their pet projects and to the unions.
Neutral,@5plus1mum,Face diaper posse doesn’t have to quarantine.
Neutral,@JohnFriedl,"The Case For Trump in a nutshell...lowest unemployment rate in American History across ALL demographics...nominated for 4 Nobel Peace Prizes...Embassy in Jerusalem...rebuilt the military...destroyed ISIS...protected our vets...energy independence...regulation reform...prison reform...quarantined COVID from China and Europe EARLY...provided a hospital ship, field hospital and ventilators to New York...I could go on and on...He’s Fighting For YOU Patriots!!!"
Neutral,@cangal21,Yes! How many more lockdowns will make you feel safe against a virus with a 99.97% survival rate!
Neutral,@Jdg527,"I'm not a fan of vaccines, but I'm definitely not in favor of more lockdowns, masks and anything else these crazy liberals cook up in their heads.  #liberalismisadisease #resist #willnotcomply #freecountry"
Neutral,@Cattail27,THE LOCKDOWNS ACTUALLY PERPETUATE THE VIRUS BC IMMUNITY IS WEAK ONCE EVERYTHING OPENS AND THE DEMS KNOW THAT...IT KEEPS THE ECOMONY DOWN AND CREATES NEW HABITS WHICH ONLY TAKE 30 DAYS TO CHANGE
Neutral,@Birch3D,"Seeing all of the people now stating “I didn’t know Biden was going to enact lockdowns!” Or “You mean Trump didn’t give praise to white supremacists?” is really amazing, because we have been explaining this to them for four years..."
Neutral,@ColoradoRight,"Trump is being castigated by Democrat Governors and Mayors, for having applied Federalism to the management of the coronavirus, thereby allowing the Democrats to impose mask mandates, lockdowns, remote “learning” and the shutdown of churches.  Trump is literally being criticized for following the US Constitution."
Neutral,@FreeEarthlings,"#CommonLawRights a #LawfulRemedy Currently, the only existing record which the state has attached to people is a #LegalFiction which means one falls under #StatutoryLawJurisdiction.  #CommonLaw gives us the option to remain under the #StatutoryLaw OR to stand under the authority and jurisdiction of the #CommonLawCourt. The #CommonLawCourtGreatBritainInternational created a database for all #LivingMen, #LivingWomen & #LivingChildren. Upon the declaration of one’s birth, one confirms one exists.  Documents & Certificates: #BirthCertificates > The only record of your birth is with the state, they own you.  #CommercialLien #CompanyRegistration #CouncilTaxAnnullment #FictitiousName #LawfulRebellion #LisPenDens #MarriageCertificate #MedicalMarijuana > This certificate confirms one’s lawful right to use marijuana for medicinal purposes. #MotorVehiclOwnership #WithdrawnConsent > Exception card to protect one’s rights to decline forced vaccinations, masks and lockdowns. CommonLawCourt.com"
Neutral,@FreeEarthlings,"#CommonLawRights a #LawfulRemedy Currently, the only existing record which the state has attached to people is a #LegalFiction which means one falls under #StatutoryLawJurisdiction.  #CommonLaw gives us the option to remain under the #StatutoryLaw OR to stand under the authority and jurisdiction of the #CommonLawCourt. The #CommonLawCourtGreatBritainInternational created a database for all #LivingMen, #LivingWomen & #LivingChildren. Upon the declaration of one’s birth, one confirms one exists.  Documents & Certificates: #BirthCertificates > The only record of your birth is with the state, they own you.  #CommercialLien #CompanyRegistration #CouncilTaxAnnullment #FictitiousName #LawfulRebellion #LisPenDens #MarriageCertificate #MedicalMarijuana > This certificate confirms one’s lawful right to use marijuana for medicinal purposes. #MotorVehiclOwnership #WithdrawnConsent > Exception card to protect one’s rights to decline forced vaccinations, masks and lockdowns. CommonLawCourt.com"
Neutral,@FreeEarthlings,"#CommonLawRights a #LawfulRemedy Currently, the only existing record which the state has attached to people is a #LegalFiction which means one falls under #StatutoryLawJurisdiction.  #CommonLaw gives us the option to remain under the #StatutoryLaw OR to stand under the authority and jurisdiction of the #CommonLawCourt. The #CommonLawCourtGreatBritainInternational created a database for all #LivingMen, #LivingWomen & #LivingChildren. Upon the declaration of one’s birth, one confirms one exists.  Documents & Certificates: #BirthCertificates > The only record of your birth is with the state, they own you.  #CommercialLien #CompanyRegistration #CouncilTaxAnnullment #FictitiousName #LawfulRebellion #LisPenDens #MarriageCertificate #MedicalMarijuana > This certificate confirms one’s lawful right to use marijuana for medicinal purposes. #MotorVehiclOwnership #WithdrawnConsent > Exception card to protect one’s rights to decline forced vaccinations, masks and lockdowns. CommonLawCourt.com"
