Sentiment,User,Post Content
Negative,amyharlib,RT @delbigtree: Finally - REAL SCIENTISTS with a plan instead of #PHARMA SHILLS with an agenda. #OpenAmericaNow #COVID19 #HerdImmunity #BeB…
Positive,Pitto2016,"@DrDenaGrayson @JoeBiden Heartbreaking!
#WearAMask 
#StayHome"
Positive,chasrobison,"RT @RichardCheese: #StayHome (unless you're on your way to arrest Trump, then it's cool)"
Positive,N_Rode,"RT @PauletteParis1: Heart-rending reality of Trump's #SlaughterGate policies.

#StayHome #WearADamnMask"
Positive,georgiabluebloo,@newtgingrich I disagree the Trump Twidiots should not VOTE. The machines are rigged.. they should sit this one out!!  #StayHome
Positive,FixTheRedStates,@LLinWood A Georgia vote is a wasted vote #StayHome @GOPChairwoman https://t.co/1e8BYVgqQs
Positive,IrishBitch9,"RT @moistened_bint: Good morning everyone!!!

Fuck Donald Trump.

That is all. #resist #DonaldTrump #TrumpRally #StayHome #TrumpIsPathetic"
Positive,Atwitisborn,"RT @moistened_bint: Good morning everyone!!!

Fuck Donald Trump.

That is all. #resist #DonaldTrump #TrumpRally #StayHome #TrumpIsPathetic"
Positive,Miyahoka,"100,000 COVID-19 Hospitalizations
#STAYATHOME #WearAMask  #WashYourHands 

#StimulusNow @senatemajldr @GOPSenate… https://t.co/MP0Fk27zQk"
Positive,CindySn92273288,#KTLA #LA #COVID #STAYATHOME #MAGA #Trump #Righttolife #Evangelicals #GOP #Republicans #FoxNews https://t.co/FQcnoxZGk1
Neutral,Pammie3333,@ChuckGrassley No republican should be telling Biden what to do. Go back to your quarantine and hush the F up!
Neutral,crummybuttons,"RT @StephMillerShow: Dana Goldberg, host of “Out In Left Field” on the #SexyLiberalPodcastNetwork, joins us from her quarantine bunker for…"
Neutral,yesokwaitmaybe,"RT @judi_judibee: Please DON'T Come Home for Christmas.
12 Quarantine Days of Christmas
Last Trump Christmas

#AddAWordRuinAChristmasSong"
Neutral,Chicpointofview,@TraceeM @MollyJongFast I know. Totally comedy. I think Trump is trying to keep us entertained for quarantine. Lmao.🤣😜😂🤣
Neutral,StephMillerShow,"Dana Goldberg, host of “Out In Left Field” on the #SexyLiberalPodcastNetwork, joins us from her quarantine bunker f… https://t.co/gIPVhmGM3C"
Neutral,kuhnhall,JHC. Its exactly the same MORONS calling Covid quarantines a Democrat plot. Who knew there were so many. Is it poss… https://t.co/OI2vXYRtcF
Neutral,mycarlisle,"RT @santiagomayer_: Election Day was a month ago, but we’re living in Quarantine Time so I think this makes Joe Biden the biggest winner of…"
Neutral,rstrok71,"RT @FinFox2: As US shortens quarantine time, questions swirl around Canada's 14-day rule.
But Trudeau &amp; Canadians have  stuck to the Covid1…"
Neutral,LSirrah,#lockdown #StopTheSteaI
Neutral,alexhamilton74,"Team Lockdown, assemble!"
Neutral,SwitchAtoll,@AOC So you support the pro-Trump and anti-lockdown protests?
Neutral,DanielSHSU1,@ADHDrandomness @StyxRocks1979 @mcgadyme @RealTina40 The lockdowns should've only been a few weeks......if trump handled his shit.
Neutral,LainieLaHaye,RT @LDNPapist: You are ones to talk. You were pushing for harder lockdowns which would have been more damaging to the economy and now your…
Neutral,darcypa63,"And if I'm not mistaken, The USA does not have a Carbon Tax and the USA has not shutdown it's oil and gas sector."
Neutral,ShawnTheAtheist,@Hermione_Hero Biden has said that there is no reason that he could see for a federal shutdown. What's a few million deaths for the economy?
Neutral,Lisasaraiva489,MAKE TRUMP &amp; GOP OWN ANOTHER GOVT. SHUTDOWN UNROLL THEY PASS STIMULUS! WTF
Neutral,saabelieves,RT @slotsqueen31: Hold on this means nuthin if Trump doesn't sign it..we are headed for a Government shutdown soon folks
Neutral,lois_left,"RT @lois_left: After the coming shutdown, we must go very slow on the reopening, so as not to trigger exponential growth again, like when t…"
Neutral,Magic367g,RT @danzu72: So who wants to bet that Trump forces a government shutdown just to f*ck with Biden's inauguration?
Neutral,WilliamBTurner5,"RT @JamieStarrdust: @JRehling I, Jamie Starrdust am calling for a total and complete shutdown of Trump supporters voting in the runoffs, un…"
Neutral,wontchathink,"RT @riotwomennn: @maddow A pattern

Judge signs off on shutdown of Trump Foundation after ""pattern of illegality""

Charity allegedly used a…"
Neutral,GayleellisLydia,"RT @riotwomennn: @maddow A pattern

Judge signs off on shutdown of Trump Foundation after ""pattern of illegality""

Charity allegedly used a…"
Neutral,ImberJane,"RT @riotwomennn: @maddow A pattern

Judge signs off on shutdown of Trump Foundation after ""pattern of illegality""

Charity allegedly used a…"
Neutral,AuntSophie1,"RT @riotwomennn: @maddow A pattern

Judge signs off on shutdown of Trump Foundation after ""pattern of illegality""

Charity allegedly used a…"
Neutral,delaneymeyer46,"RT @PutinOwns45: @charliekirk11 No shutdowns = one of the highest infections rates in the country with thousands DEAD. 

No voter fraud iss…"
Neutral,karenleespree,RT @morethanmySLE: Staten Island is going to get all of NYC shutdown for defying #COVID19 guidelines. This is extremely selfish and a slap…
Neutral,WilliamFPeters2,RT @morethanmySLE: Staten Island is going to get all of NYC shutdown for defying #COVID19 guidelines. This is extremely selfish and a slap…
Neutral,olivier_patti,RT @morethanmySLE: Staten Island is going to get all of NYC shutdown for defying #COVID19 guidelines. This is extremely selfish and a slap…
Neutral,sherry_bath,RT @morethanmySLE: Staten Island is going to get all of NYC shutdown for defying #COVID19 guidelines. This is extremely selfish and a slap…
Neutral,LitLat,RT @morethanmySLE: Staten Island is going to get all of NYC shutdown for defying #COVID19 guidelines. This is extremely selfish and a slap…
Neutral,JSeulement2019,"His family has my sympathy, but maybe they can now shutdown their church for the safety of their parishioners. He p… https://t.co/M1GnlkCMzJ"
Neutral,miloforever4,@JoeBiden I thought you were for lockdowns? They didn't work and they wrecked the part of the economy that isn't la… https://t.co/AP5iR4C83n
Neutral,james_roe,"@Julesriddle365 @TheDemocrats His administration is still saying no new lockdowns, they don't have the authority to… https://t.co/rWaSFZVMtX"
Neutral,USeattlite,RT @TheElephantsKid: History will note that Americans all over the country were obeying all the lockdown rules--until suddenly Dems and the…
Neutral,jtkirklin,RT @Pandemic_Times: @bannerite @morgfair It was from the moment Trump committed in February 2020 to no national lockdowns or national coord…
Neutral,GrouchoBarks,RT @SunflowerSoul71: @JoeBiden I care more about lives being lost to COVID19.  The economy can be greatly helped by doing a lockdown to get…
Neutral,chickilopiccolo,RT @SunflowerSoul71: @JoeBiden I care more about lives being lost to COVID19.  The economy can be greatly helped by doing a lockdown to get…
Neutral,dumptrump1234,RT @SunflowerSoul71: @JoeBiden I care more about lives being lost to COVID19.  The economy can be greatly helped by doing a lockdown to get…
