Sentiment,User,Post Content
Positive,@Factcheckedforyou,Be a TRUE Patriot. Save lives. Wear a mask. Over your nose and under your chin! ✌🏻 because baby Yoda said so and this is the way!  #maskssavelives #covid19 #babyyoda #2020
Positive,@Factcheckedforyou,"Shoutout to Dr. Fauci and everyone saving lives by trusting science, washing hands, masking up and social distancing!  #drfauci #covid19 #wearamask #science #maskssavelives #savelives"
Positive,@Factcheckedforyou,I just commented this on a post but I feel like it’s relevant to all who don’t feel it’s their duty to comply with mask mandates or covid regulations in general.  #covid19 #savelives #wearamask
Positive,@DeniseMcAllister,Love others.  Don’t force them to wear a mask.
Positive,@Factcheckedforyou,"Shoutout to Dr. Fauci and everyone saving lives by trusting science, washing hands, masking up and social distancing!  #drfauci #covid19 #wearamask #science #maskssavelives #savelives"
Neutral,@Chalkythebear,Trump is just so sad #loser #election #elections2020 #snowflake #maga #kag #qanon #qanonpatriots #deepstate #fakepatriot #qanonworldwide #draintheswamp #covid19 #trumplied #lesleystahl #60minutes #trumphascovid #coronavirus #pandemic #trump #proudboys #biden2020 #voteblue #feelthebern #biden #joebiden #elections2020 #votebiden #hunterbiden #georgia #arizona #pennsylvania #northcarolina #snowflakeinchief #stolenelection #stopthecount #stopthesteal
Neutral,@Chalkythebear,This is embarrassing as hell #loser #election #elections2020 #snowflake #maga #kag #qanon #qanonpatriots #deepstate #fakepatriot #qanonworldwide #draintheswamp #covid19 #trumplied #lesleystahl #60minutes #trumphascovid #coronavirus #pandemic #trump #proudboys #biden2020 #voteblue #feelthebern #biden #joebiden #elections2020 #votebiden #hunterbiden #georgia #arizona #pennsylvania #northcarolina #snowflakeinchief #stolenelection #stopthecount #stopthesteal #rudygiuliani
Neutral,@DoseOfReality,I guess congrats to the White House for finding something they’re successful at. 😷 #presidentelectbiden #joebiden #maga #trump2020 #qanon #voterfraud #stopthesteal #covid19
Neutral,@Factcheckedforyou,Be a TRUE Patriot. Save lives. Wear a mask. Over your nose and under your chin! ✌🏻 because baby Yoda said so and this is the way!  #maskssavelives #covid19 #babyyoda #2020
Neutral,@Factcheckedforyou,I just commented this on a post but I feel like it’s relevant to all who don’t feel it’s their duty to comply with mask mandates or covid regulations in general.  #covid19 #savelives #wearamask
Neutral,@downgoestrump,Wow such incompetence! #covid #fail
Neutral,@Factsbeforefeelings,Democrats need Covid to destroy the economy so that it is easier to slip Socialism in a little at a time
Neutral,@dinos2020,Performance issues? Maybe Regeneron can help 🤣🤣🤣 #losertrump #loserparade #millionmagamarch #10klosermarch
Neutral,@HughMorris,"Hey Christians, did God give us corona? I thought Jesus was coming back soon... Did you know everything written about Jesus in Matthew, Mark, Luke, and John paints your Messiah as a liberal? In fact, he sounds a lot like a communist. Too bad most of you don't read books, even the Bible."
